Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,37.000 kW,"56,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,55.000 kW,"93,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"49,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,1.100 kW,"2,400.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,0.750 kW,"2,359.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"2,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"17,100.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,110.000 kW,"229,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"255,300.000 m3/h","1,000 Pa",
Centrifugal fan with housing,NADI,18.500 kW,"60,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,200.000 kW,"267,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,90.000 kW,"125,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,30.000 kW,"98,100.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,4.000 kW,"8,500.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,4.000 kW,"10,800.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"24,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"43,100.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"58,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,2.200 kW,"5,757.000 m3/h",800 Pa,
